#each line of this file is the electricity trade-off from the first week of the 2017 to last week of 2019, last line is the mean value of all the previous line
ALB,AUT,BIH,BEL,BGR,BLR,CHE,CZE,DEU,DNK,EST,ESP,FIN,FRA,GBR,GRC,HRV,HUN,IRL,ITA,LTU,LUX,LVA,MDA,MNE,MKD,MLT,NLD,NOR,POL,PRT,ROU,SRB,RUS,SWE,SVN,SVK,TUR,UKR
565,-1260,675,-975,497,393,-1610,600,8290,302,325,-2410,-2240,6240,-2920,-1010,-587,-1750,53.2,-6610,-1250,-513,55.4,-81.8,240,-117,-78.3,551,1790,-841,-353,351,25.2,800,2320,18.1,-439,61.5,906
554,-1850,680,-727,606,452,-1010,990,10600,-256,-23.8,-1580,-2940,3870,-2690,-710,-371,-2170,40.7,-6670,-1320,-503,238,-86.3,208,-172,-96.0,571,2410,-224,-287,731,-132,1250,258,-113,-443,89.6,856
554,-2320,718,-1160,733,517,61.6,917,12000,1120,144,594,-3020,-354,-1890,-199,-645,-2490,-22.7,-6930,-1300,-533,265,-88.2,186,-286,-51.9,20.3,1050,-339,879,729,-126,978,197,-202,-626,226,677
832,-2090,1100,-1200,817,428,-2520,2070,6810,69.6,371,-1780,-2230,7250,-2520,-579,-263,-2310,-408,-6240,-1230,-521,-69.4,-73.2,281,-210,-86.4,-837,515,-735,1670,277,9.62,1250,1210,39.1,-405,83.7,828
791,-1520,1070,-1470,632,172,-2400,1270,6500,482,302,-556,-1920,6370,-2160,-795,-79.7,-2180,-400,-5540,-1100,-509,87.5,-70.1,237,-251,-82.6,-937,-827,-651,1620,476,141,1040,1110,224,-241,-55.4,800
754,-2280,1270,-708,770,305,-2410,1790,8090,187,552,941,-1740,779,-1740,-433,-253,-2210,-253,-5500,-1090,-523,51.3,-65.1,291,-234,-98.1,-688,-213,-793,1050,674,-13.5,945,1990,132,-445,58.8,796
814,-2240,962,-1130,808,210,-1420,2080,7090,869,489,335,-1980,3170,-2260,-579,-266,-1540,12.8,-4340,-1030,-486,88.4,-77.0,206,-189,-177,-1130,-1050,-554,346,625,96.2,728,981,17.1,-269,-68.4,859
845,-1040,903,-1360,784,342,-1130,1740,7420,235,564,-992,-1800,5430,-2370,-897,-229,-1640,-8.21,-4510,-917,-438,218,-119,136,-207,-157,-1800,-2170,-633,483,650,131,581,1740,-391,8.75,-277,893
819,-62.0,485,-2030,901,184,133,1370,5840,530,506,-2310,-2100,5410,-2540,-972,-383,-1680,82.9,-5540,-794,-480,357,-113,186,-256,-128,-530,-926,-1090,894,375,756,697,1830,-243,78.2,-224,971
803,148,448,-2310,809,144,536,1100,3040,-891,527,-1680,-2320,9960,-2360,-1010,-318,-1620,69.5,-5780,-903,-477,339,-111,173,-276,-77.3,-1780,628,-1250,128,642,940,764,1930,-100.0,-358,-199,695
788,586,440,-2200,435,-1.91,1780,952,2250,-478,335,-2230,-2590,10800,-2330,-1030,-550,-1430,23.2,-5060,-913,-459,389,-122,57.1,-279,-75.7,-2060,-617,-1250,-139,325,715,777,2860,-125,-344,-161,965
728,768,275,-1890,223,-36.6,1850,1630,3380,-964,-113,-1800,-2130,7990,-2400,-766,-565,-1640,-13.8,-3450,-1010,-429,297,-120,-63.2,-175,-63.9,-2560,-1040,-971,-807,-36.7,409,1430,3860,46.6,-407,-146,710
699,13.4,552,-2490,296,35.5,2720,2000,1620,-1310,-269,-2790,-1380,1070,-2830,-618,-749,-2000,50.8,-4320,-996,-449,-71.6,-107,-39.9,-175,-39.2,-2730,22.8,-991,80.9,-204,450,340,4540,163,-232,-64.9,599
657,453,330,-1980,511,170,2380,1660,460,-1640,34.0,-2650,-2060,11900,-2290,-998,-759,-2070,70.9,-4050,-1060,-452,-225,-113,-65.0,-231,-51.4,-3330,1100,-1110,180,-90.4,435,649,3870,217,-542,64.4,626
326,-318,410,-2270,574,130,2800,1440,3350,-1560,212,-2240,-2160,9710,-2610,-745,-921,-1950,213,-3800,-1050,-453,-297,-119,-101,-216,-9.43,-2730,1210,-1360,-109,32.0,236,835,3330,147,-679,75.8,650
200,127,367,-2430,805,149,3030,1660,707,-1820,189,-2470,-2330,10500,-2380,-770,-1050,-2280,212,-3570,-1130,-488,-286,-107,-72.3,-211,-33.1,-2560,1570,-1110,285,201,343,1170,3150,153,-705,212,814
-76.8,-290,456,-2340,1140,58.6,2600,1400,1630,-2250,-40.4,-2920,-2740,10800,-2740,-663,-951,-2280,155,-4100,-1070,-487,-295,-121,-38.4,-214,-92.6,-1990,2310,-729,1020,10.6,52.7,1410,3100,69.1,-808,272,759
-77.7,162,555,-2390,1040,-47.1,2160,1670,2520,-1200,155,-2310,-2790,10000,-2480,-676,-764,-2270,159,-4260,-1170,-469,-260,-148,-21.3,-182,-63.0,-1830,2090,-1070,147,8.41,151,1760,1590,-34.0,-707,313,724
